station_id,station_name,station_name_en,county,town,latitude,longitude,datum,start_year,end_year
1156,萡子寮潮位站,Bozihlia,雲林縣,四湖鄉,23.62,120.13,相對臺灣高程基準TWVD2001,2006,2025
1456,麥寮潮位站,Mailiao,雲林縣,麥寮鄉,23.79,120.16,相對臺灣高程基準TWVD2001,2006,2025
