station_name,station_label,distribution,n,log_likelihood,aic,bic,param_1,param_2,param_3,status
萡子寮潮位站,Boziliao,Gumbel,20,3.1088653908333823,-2.2177307816667646,-0.22626623455878292,2.1166535899563996,0.19152054080560635,,success
萡子寮潮位站,Boziliao,GEV,20,-0.05890875977929211,6.117817519558584,9.105014340220556,1.051825833592089,2.1070078706336584,0.5090754249227627,success
萡子寮潮位站,Boziliao,Lognormal,20,4.781159114174282,-3.5623182283485644,-0.5751214076865914,0.08645371889616131,0.0,2.203725993028574,success
萡子寮潮位站,Boziliao,Pearson Type III,20,4.945689038489778,-3.8913780769795565,-0.9041812563175835,-0.03219361990247966,2.2118998319850007,0.18897533446196202,success
麥寮潮位站,Mailiao,Gumbel,20,2.3709349771067725,-0.741869954213545,1.2495945928944368,2.515501942418476,0.16788944333739667,,success
麥寮潮位站,Mailiao,GEV,20,4.283021615941258,-2.5660432318825155,0.4211535887794575,-0.2438709545637301,2.493094238251353,0.14548213033097246,success
麥寮潮位站,Mailiao,Lognormal,20,-2.864959518448911,11.729919036897822,14.717115857559795,0.10695485173267602,0.0,2.6108032241496844,success
麥寮潮位站,Mailiao,Pearson Type III,20,9.459898448030888,-12.919796896061776,-9.932600075399803,2.1578209400863324,2.6239671504006536,0.30961186312571704,success
